Date,600276,600900,601318,600276_Return,600900_Return,601318_Return
2017/4/10,28.79,13.3,36.45,-0.01721805621555772,0.0022581868835920282,-0.004106781952653016
2017/4/11,28.25,13.29,36.19,-0.018934647031634277,-0.0007521625025543877,-0.007158620879016198
2017/4/12,28.5,13.55,36.01,0.008810629682154847,0.019374674600556308,-0.004986159914867283
2017/4/13,28.93,13.57,35.9,0.014975031713438725,0.001474926521067399,-0.0030593821665507726
2017/4/14,28.85,13.55,35.89,-0.0027691260339350876,-0.001474926521067399,-0.0002785903347173324
2017/4/17,28.94,13.52,36.02,0.003114728249229426,-0.0022164767108923122,0.003615634588294281
2017/4/18,29.36,13.46,35.7,0.014408482542976664,-0.004447746398235974,-0.008923650962216811
2017/4/19,29.36,13.47,35.51,0.0,0.0007426662056908562,-0.005336341830596947
2017/4/20,29.8,13.66,35.8,0.014875189765044095,0.01400686372037141,0.008133546451658091
2017/4/21,30.06,13.81,36.09,0.008686990813469908,0.010921113278556493,0.008067925248042673
2017/4/24,30.23,13.81,36.17,0.005639424466538312,0.0,0.0022142273093095355
2017/4/25,30.12,13.69,36.48,-0.003645405859673989,-0.008727328120843314,0.008534119242123772
2017/4/26,29.69,13.92,37.51,-0.014379114156024553,0.016661015605916152,0.027843398887665405
2017/4/27,29.23,13.89,37.82,-0.01561470965251388,-0.0021574981400211968,0.008230499136515856
2017/4/28,28.65,13.89,37.96,-0.020042135962405894,0.0,0.0036949105114154612
2017/5/2,28.39,14.0,37.91,-0.009116472675868792,0.007888172849006114,-0.0013180442134839154
2017/5/3,28.69,14.0,38.0,0.010511659508393834,0.0,0.002371230198142449
2017/5/4,29.06,14.0,37.82,0.012814028148863343,0.0,-0.004748096496073995
2017/5/5,29.19,14.06,37.26,0.004463526723886613,0.004276556767260686,-0.014917698056869266
2017/5/8,29.23,14.16,37.79,0.001369394257130896,0.007087201883054561,0.014124152187955374
2017/5/9,29.05,13.97,37.99,-0.006177095825234069,-0.013508914996703147,0.005278449838136634
2017/5/10,29.57,13.97,39.84,0.017741850566465267,0.0,0.0475484655168632
2017/5/11,29.87,14.1,39.77,0.010094298363632959,0.009262624115252027,-0.0017585734967981992
2017/5/12,29.89,14.12,40.95,0.0006693440678278151,0.0014174346809734395,0.029238951079479047
2017/5/15,30.18,14.21,40.9,0.009655477043856386,0.006353710043913274,-0.0012217472503226467
2017/5/16,30.89,14.33,41.09,0.02325305359078733,0.008409299731071407,0.004634719846562607
2017/5/17,30.68,14.2,40.42,-0.006821530431434741,-0.009113277232865702,-0.016440070919843564
2017/5/18,31.43,14.24,40.62,0.024151874310420762,0.002812941376614919,0.004935844176763737
2017/5/19,31.37,14.29,41.01,-0.0019108286068894031,0.0035050859579461857,0.009555383251729221
2017/5/22,31.69,14.56,42.84,0.010149151500242759,0.01871805082676392,0.04365630617558036
2017/5/23,32.16,14.76,43.17,0.014722270607935961,0.013642776403786527,0.007673563987837806
2017/5/24,32.11,14.78,43.03,-0.001555936209343134,0.0013540963477289836,-0.0032482627168777256
2017/5/25,31.3,14.69,45.49,-0.0255494105553149,-0.006107925334269737,0.05559497473140462
2017/5/26,31.46,14.64,45.18,0.005098800084024191,-0.0034094816526200056,-0.006838010542055795
2017/5/31,31.92,14.81,45.07,0.014515874951476437,0.011545119746541488,-0.002437674337300244
2017/6/1,32.54,15.03,45.97,0.019237329209283782,0.014745575485175966,0.019772173115579772
2017/6/2,32.1,14.98,44.96,-0.013614071654921567,-0.00333222567580993,-0.022215804232700975
2017/6/5,31.26,14.78,44.67,-0.026516705142639818,-0.013441062569017781,-0.006471070221408137
2017/6/6,31.72,14.78,46.03,0.014608071773316578,0.0,0.029991222465122647
2017/6/7,32.27,14.8,45.98,0.017190609297223602,0.001352265250013751,-0.001086838494114506
2017/6/8,32.86,15.05,47.62,0.018118106545251145,0.016750810424815743,0.03504632172368094
2017/6/9,32.78,14.88,48.14,-0.0024375392934383733,-0.011359961789938922,0.010860591296209421
2017/6/12,32.84,14.89,48.93,0.0018287112685442253,0.0006718172909714326,0.016277272946106258
2017/6/13,32.56,14.7,48.44,-0.008562743449888277,-0.012842352911226929,-0.010064786616140964
2017/6/14,32.58,14.53,47.21,0.0006140620395598262,-0.011632016202498985,-0.025720184126695855
2017/6/15,32.38,14.4,46.18,-0.0061576549244102274,-0.008987271000236774,-0.022058930631846163
2017/6/16,32.92,14.4,46.7,0.016539427559380204,0.0,0.011197360748502305
2017/6/19,32.22,14.53,48.56,-0.021492998060041124,0.008987271000236774,0.03905598207639116
2017/6/20,31.6,14.56,48.1,-0.019430257155961694,0.0020625651863483974,-0.009517969639527113
2017/6/21,32.04,14.71,49.43,0.01382800160729225,0.010249491844806169,0.027275350207152105
2017/6/22,31.74,14.81,49.14,-0.009407407101895693,0.006775093666361087,-0.0058841602258348225
2017/6/23,32.13,14.88,49.72,0.012212458029504436,0.004715401125238827,0.011733899549477567
2017/6/26,32.75,14.95,49.72,0.019112788953493443,0.004693270431749497,0.0
2017/6/27,32.76,15.01,49.92,0.00030529690360792117,0.004005345808674843,0.004014457418661799
2017/6/28,32.12,15.0,48.61,-0.019729369906307692,-0.0006664445431603383,-0.026592453003808192
2017/6/29,32.45,15.19,49.96,0.01022155407153802,0.012587115505471314,0.027393414200012955
2017/6/30,32.43,15.38,49.61,-0.0006165228308723236,0.012430647469816591,-0.007030258944419554
2017/7/3,32.1,15.34,48.94,-0.010227890183256427,-0.00260416813838793,-0.013597368298432055
2017/7/4,31.53,15.41,47.92,-0.01791655657900071,0.004552853392914447,-0.021062104207331345
2017/7/5,31.89,15.19,50.42,0.01135300746499679,-0.014379332724343108,0.0508549679525796
2017/7/6,31.58,15.25,51.39,-0.009768472194470412,0.003942186445739182,0.019055679244364576
2017/7/7,31.3,15.34,51.01,-0.008905911281388512,0.005884292885689479,-0.00742190906930329
2017/7/10,31.61,15.52,51.13,0.009855428681418754,0.011665718815962567,0.0023497171570729947
2017/7/11,31.74,15.63,51.23,0.004104188870736714,0.007062629678312504,0.0019538888592030013
2017/7/12,31.45,15.33,50.61,-0.00917873195181329,-0.019380451549662503,-0.012176112725124533
2017/7/13,31.47,15.21,51.63,0.0006357279298656593,-0.007858586612520924,0.019953713665571193
