日期,收盘,开盘,高,低,交易量,涨跌幅
2017/1/3,35.66,35.34,36.01,35.32,29.70M,0.65%
2017/1/4,35.7,35.69,35.79,35.51,25.26M,0.11%
2017/1/5,35.73,35.73,35.94,35.68,28.69M,0.08%
2017/1/6,35.44,35.73,35.89,35.35,36.29M,-0.81%
2017/1/9,35.44,35.47,35.55,35.27,27.06M,0.00%
2017/1/10,35.24,35.44,35.49,35.2,20.54M,-0.56%
2017/1/11,35.23,35.25,35.43,35.1,21.00M,-0.03%
2017/1/12,35.2,35.3,35.42,35.15,18.72M,-0.09%
2017/1/13,35.55,35.23,35.9,35.19,33.07M,0.99%
2017/1/16,36.17,35.56,36.28,35.21,112.92M,1.74%
2017/1/17,35.98,36.07,36.34,35.89,34.95M,-0.53%
2017/1/18,36.22,36.07,36.44,36.06,26.69M,0.67%
2017/1/19,36.06,36.13,36.37,35.92,19.96M,-0.44%
2017/1/20,36.25,36.05,36.28,36.01,26.03M,0.53%
2017/1/23,36.19,36.26,36.42,36.04,39.80M,-0.17%
2017/1/24,36.18,36.2,36.33,36.1,26.87M,-0.03%
2017/1/25,36.44,36.2,36.45,36.09,35.89M,0.72%
2017/1/26,36.52,36.45,36.8,36.44,27.72M,0.22%
2017/2/3,35.62,36.5,36.5,35.6,48.93M,-2.46%
2017/2/6,35.94,35.74,36.03,35.53,64.89M,0.90%
2017/2/7,36.06,36,36.24,35.92,48.62M,0.33%
2017/2/8,36.02,36.04,36.08,35.7,39.63M,-0.11%
2017/2/9,36.11,36.07,36.37,36,52.76M,0.25%
2017/2/10,36.2,36.21,36.34,36.1,39.92M,0.25%
2017/2/13,36.31,36.29,36.41,36.17,69.35M,0.30%
2017/2/14,36.1,36.4,36.4,35.95,49.09M,-0.58%
2017/2/15,36.32,36.27,36.48,36.21,67.29M,0.61%
2017/2/16,36.3,36.42,36.43,36.19,34.78M,-0.06%
2017/2/17,36.26,36.36,36.66,36.2,52.55M,-0.11%
2017/2/20,36.82,36.31,36.89,36.25,74.14M,1.54%
2017/2/21,36.77,36.83,37.18,36.7,54.83M,-0.14%
2017/2/22,36.82,36.88,36.92,36.67,38.04M,0.14%
2017/2/23,36.52,36.77,36.89,36.44,45.95M,-0.81%
2017/2/24,36.56,36.53,36.57,36.36,25.68M,0.11%
2017/2/27,36.32,36.51,36.64,36.21,40.14M,-0.66%
2017/2/28,36.23,36.32,36.44,36.19,26.85M,-0.25%
2017/3/1,36.16,36.26,36.32,36.13,35.51M,-0.19%
2017/3/2,35.86,36.34,36.34,35.84,46.57M,-0.83%
2017/3/3,35.85,35.8,35.94,35.71,25.14M,-0.03%
2017/3/6,35.83,35.81,35.94,35.75,28.67M,-0.06%
2017/3/7,35.96,35.83,35.97,35.8,23.72M,0.36%
2017/3/8,35.82,35.9,35.92,35.77,22.29M,-0.39%
2017/3/9,35.78,35.77,35.8,35.5,37.80M,-0.11%
2017/3/10,35.6,35.71,35.77,35.58,20.75M,-0.50%
2017/3/13,35.97,35.6,36.04,35.56,36.00M,1.04%
2017/3/14,35.94,35.99,36.13,35.81,27.70M,-0.08%
2017/3/15,35.96,35.88,36,35.76,26.87M,0.06%
2017/3/16,36.07,36.1,36.24,35.97,39.16M,0.31%
2017/3/17,35.75,36.12,36.22,35.62,54.26M,-0.89%
2017/3/20,35.83,35.76,35.96,35.66,42.46M,0.22%
2017/3/21,36.27,36.03,36.29,35.87,97.01M,1.23%
2017/3/22,36,36.09,36.23,35.81,52.79M,-0.74%
2017/3/23,36.57,36.18,36.93,36.14,120.91M,1.58%
2017/3/24,36.55,36.65,37.11,36.2,94.40M,-0.05%
2017/3/27,36.74,36.51,37.28,36.5,122.86M,0.52%
2017/3/28,36.73,36.77,36.97,36.61,52.34M,-0.03%
2017/3/29,36.78,36.89,37.04,36.69,52.52M,0.14%
2017/3/30,36.75,36.71,36.79,36.4,49.29M,-0.08%
2017/3/31,37.01,36.68,37.14,36.58,63.80M,0.71%
2017/4/5,37.1,37.1,37.3,36.99,61.35M,0.24%
2017/4/6,36.96,37.11,37.13,36.78,52.33M,-0.38%
2017/4/7,36.6,36.94,37.01,36.56,64.76M,-0.97%
